iter	Passed	Remaining
0	2092	20926990
1	4394	21968025
2	6024	20076220
3	6624	16554143
4	7495	14983819
5	8142	13562785
6	8720	12448897
7	9727	12149520
8	10482	11636448
9	11183	11172355
10	11738	10659914
11	12279	10220994
12	13315	10229574
13	14990	10692156
14	16299	10850335
15	16834	10504470
16	17358	10193497
17	18014	9989854
18	18745	9847550
19	19268	9614833
20	19779	9399196
21	20291	9203232
22	20905	9068431
23	21424	8905488
24	21913	8743462
25	22496	8630181
26	23197	8568541
27	23725	8449742
28	24299	8354687
29	24902	8275770
30	25532	8210667
31	26094	8128467
32	26668	8054681
33	27287	7998350
34	27852	7929894
35	28485	7884228
36	29078	7829947
37	29689	7783298
38	30234	7722153
39	30824	7675290
40	31360	7617433
41	31920	7568191
42	33067	7656949
43	33932	7678040
44	35218	7791198
45	35833	7753969
46	36368	7701631
47	36855	7641308
48	37390	7593254
49	37973	7556784
50	38453	7501522
51	38951	7451795
52	39596	7431377
53	40067	7379756
54	40545	7331289
55	41004	7281187
56	41508	7240681
57	42103	7217203
58	42633	7183396
59	43224	7160860
60	43840	7143127
61	44377	7113254
62	44929	7086773
63	45460	7057781
64	46017	7033551
65	46608	7015326
66	47095	6982134
67	47601	6952604
68	48208	6938521
69	48714	6910438
70	49278	6891308
71	49823	6870120
72	50465	6862590
73	50984	6838846
74	51543	6820895
75	52115	6805131
76	52668	6787389
77	53191	6766184
78	53752	6750353
79	54316	6735283
80	54975	6732091
81	55579	6722366
82	56105	6703618
83	56687	6691786
84	57419	6697841
85	58002	6686462
86	58624	6679772
87	59181	6665946
88	59636	6641113
89	60222	6631154
90	60847	6625653
91	61439	6616756
92	62088	6614137
93	62670	6604455
94	63241	6593707
95	63752	6577123
96	64375	6572233
97	64875	6555081
98	65492	6549959
99	65942	6528289
100	66490	6516727
101	67079	6509330
102	67729	6507980
103	68258	6495036
104	68778	6481536
105	69380	6475981
106	69951	6467528
107	70529	6459953
108	71073	6449431
109	71645	6441551
110	72237	6435648
111	72680	6416613
112	73193	6404122
113	73825	6402138
114	74376	6393125
115	74981	6388972
116	75508	6378204
117	76184	6380168
118	77493	6434562
119	78842	6491396
120	79370	6480176
121	79953	6473627
122	80529	6466588
123	81108	6459889
124	81628	6448640
125	82141	6437010
126	82624	6423262
127	83292	6423901
128	83868	6417546
129	84421	6409556
130	85052	6407532
131	85663	6403980
132	86178	6393429
133	86697	6383283
134	87294	6378961
135	87955	6379352
136	88434	6366624
137	88925	6354944
138	89535	6351854
139	90041	6341494
140	90632	6337221
141	91176	6329685
142	91842	6330695
143	92351	6320936
144	92930	6316093
145	93494	6310239
146	94120	6308606
147	94716	6305037
148	95349	6303920
149	95991	6303427
150	96574	6299100
151	97109	6291646
152	97702	6288110
153	98311	6285533
154	98877	6280321
155	99464	6276445
156	99959	6266890
157	100526	6261898
158	101075	6255854
159	101583	6247396
160	102163	6243397
161	102778	6241578
162	103230	6229955
163	103758	6222966
164	104253	6214141
165	104752	6205664
166	105305	6200426
167	105885	6196812
168	106471	6193631
169	107012	6187822
170	107504	6179328
171	108069	6175061
172	108686	6173782
173	109233	6168533
174	109864	6168134
175	110445	6164866
176	111153	6168704
177	111634	6159978
178	112226	6157395
179	112770	6152249
180	113363	6149815
181	113927	6145846
182	114417	6137891
183	114967	6133284
184	115501	6127809
185	116034	6122362
186	116536	6115336
187	117068	6110002
188	117653	6107376
189	118237	6104811
190	118814	6101833
191	119341	6096351
192	119886	6091871
193	120594	6095618
194	121293	6098904
195	121849	6094980
196	122392	6090438
197	123034	6090822
198	123661	6090461
199	124306	6091032
200	124995	6093670
201	125536	6089165
202	126116	6086534
203	126703	6084233
204	127306	6082779
205	127838	6077890
206	128465	6077578
207	128964	6071248
208	129553	6069183
209	130248	6072074
210	130802	6068383
211	131312	6062694
212	131891	6060197
213	132449	6056788
214	132924	6049598
215	133409	6042967
216	134004	6041306
217	134648	6041891
218	135478	6050771
219	137018	6091089
220	137563	6087020
221	138168	6085656
222	138795	6085210
223	139425	6084906
224	140010	6082667
225	140546	6078313
226	141137	6076384
227	141668	6071853
228	142192	6067079
229	142760	6064224
230	143278	6059241
231	143928	6059898
232	144697	6065501
233	145206	6060179
234	145775	6057434
235	146396	6056863
236	147192	6063448
237	147881	6065636
238	148408	6061168
239	148977	6058404
240	149548	6055800
241	150141	6054047
242	150403	6039042
243	150922	6034438
244	151452	6030286
245	152005	6027096
246	152905	6037595
247	153516	6036654
248	154066	6033345
249	154645	6031160
250	155210	6028468
251	155688	6022438
252	156269	6020372
253	156911	6020717
254	157498	6018904
255	158020	6014671
256	158753	6018443
257	159325	6016072
258	159915	6014409
259	160519	6013316
260	161057	6009739
261	161581	6005651
262	162238	6006540
263	162797	6003773
264	163385	6002121
265	163938	5999147
266	164523	5997398
267	165153	5997286
268	165675	5993253
269	166201	5989403
270	166729	5985660
271	167349	5985211
272	167870	5981244
273	168365	5976360
274	169056	5978450
275	169585	5974812
276	170162	5972874
277	170741	5971047
278	171436	5973236
279	171968	5969779
280	172446	5964449
281	172971	5960782
282	173563	5959415
283	173717	5943095
284	174264	5940290
285	174757	5935661
286	175259	5931342
287	175712	5925430
288	176291	5923776
289	176600	5913064
290	177198	5912085
291	177763	5910019
292	178344	5908485
293	178633	5897346
294	179158	5894018
295	179725	5892083
296	180362	5892446
297	180888	5889201
298	181366	5884411
299	181900	5881447
300	182461	5879385
301	183141	5881133
302	183707	5879243
303	184297	5878126
304	184880	5876759
305	185434	5874502
306	185939	5870733
307	186490	5868389
308	187059	5866635
309	187532	5861890
310	188050	5858598
311	188701	5859410
312	189232	5856541
313	189831	5855747
314	190397	5853977
315	190928	5851102
316	191433	5847484
317	191963	5844620
318	192901	5854154
319	194507	5883860
320	195081	5882223
321	195616	5879433
322	196127	5875925
323	196720	5874898
324	197328	5874329
325	197849	5871149
326	198380	5868305
327	199006	5868271
328	199590	5866996
329	200171	5865620
330	200659	5861564
331	201309	5862238
332	201931	5862071
333	202431	5858390
334	202993	5856513
335	203432	5851102
336	204001	5849466
337	204524	5846508
338	205041	5843392
339	205568	5840564
340	206151	5839338
341	206683	5836683
342	207213	5833992
343	207753	5831595
344	208310	5829674
345	208868	5827802
346	209347	5823720
347	209927	5822470
348	210414	5818665
349	210918	5815315
350	211461	5813083
351	212100	5813484
352	212671	5812016
